Date,SPY,BND
2012-03-04,106.95343017578125,56.10551071166992
2012-03-11,107.15594482421875,55.958160400390625
2012-03-18,109.76129150390625,55.50922775268555
2012-03-25,109.25276947021484,55.71689987182617
2012-04-01,110.16023254394531,55.79732894897461
2012-04-08,109.36231231689453,55.848419189453125
2012-04-15,107.28913116455078,56.27194595336914
2012-04-22,107.92281341552734,56.28539276123047
2012-04-29,109.83169555664062,56.37948989868164
2012-05-06,107.17963409423828,56.5545768737793
2012-05-13,106.09217071533203,56.561309814453125
2012-05-20,101.49987030029297,56.6556510925293
2012-05-27,103.34616088867188,56.61517333984375
2012-06-03,100.2637939453125,57.13847732543945
2012-06-10,104.12847900390625,56.82784652709961
2012-06-17,105.48590850830078,57.0034065246582
2012-06-24,104.9511489868164,56.80759811401367
2012-07-01,107.02716064453125,56.976436614990234
2012-07-08,106.5474624633789,57.2315788269043
2012-07-15,106.75194549560547,57.427825927734375
2012-07-22,107.31815338134766,57.63080596923828
2012-07-29,109.05603790283203,57.5090217590332
2012-08-05,109.58293151855469,57.50657272338867
2012-08-12,110.75466918945312,57.4320182800293
2012-08-19,111.80841064453125,57.12682342529297
2012-08-26,111.28152465820312,57.45914077758789
2012-09-02,111.00630187988281,57.77109146118164
2012-09-09,113.49916076660156,57.59711456298828
2012-09-16,115.78755950927734,57.28445816040039
2012-09-23,115.32252502441406,57.583499908447266
2012-09-30,113.82038116455078,57.87577819824219
2012-10-07,115.5359878540039,57.742252349853516
2012-10-14,112.96661376953125,57.892147064208984
2012-10-21,113.36187744140625,57.67420196533203
2012-10-28,111.74908447265625,57.72183609008789
2012-11-04,111.91509246826172,57.749088287353516
2012-11-11,109.2271499633789,57.824012756347656
2012-11-18,107.81197357177734,57.858036041259766
2012-11-25,111.74908447265625,57.72183609008789
2012-12-02,112.3815689086914,57.85127639770508
2012-12-09,112.58710479736328,57.87656021118164
2012-12-16,112.3420639038086,57.69221878051758
2012-12-23,113.6881103515625,57.678619384765625
2012-12-30,111.49066162109375,57.398807525634766
2013-01-06,116.53853607177734,57.173606872558594
2013-01-13,117.09587860107422,57.20773696899414
2013-01-20,118.09908294677734,57.26914978027344
2013-01-27,119.62776184082031,57.037113189697266
2013-02-03,120.41598510742188,56.788394927978516
2013-02-10,120.86187744140625,57.02088928222656
2013-02-17,121.10871887207031,56.92514419555664
2013-02-24,120.93350982666016,57.02775192260742
2013-03-03,121.10871887207031,57.28488540649414
2013-03-10,123.76004028320312,56.90126037597656
2013-03-17,124.62232208251953,57.004005432128906
2013-03-24,124.43844604492188,57.16162109375
2013-03-31,125.29409790039062,57.29863739013672
2013-04-07,124.08649444580078,57.71527099609375
2013-04-14,126.99751281738281,57.68088912963867
2013-04-21,124.34242248535156,57.7428092956543
2013-04-28,126.54972839355469,57.832176208496094
2013-05-05,129.05287170410156,57.716339111328125
2013-05-12,130.68429565429688,57.47522735595703
2013-05-19,133.5074005126953,57.330543518066406
2013-05-26,132.2037811279297,57.17899703979492
2013-06-02,130.71630859375,56.76563262939453
2013-06-09,131.79595947265625,56.603416442871094
2013-06-16,130.5003204345703,56.68623733520508
2013-06-23,127.8866195678711,55.52659225463867
2013-06-30,128.971923828125,55.83028793334961
2013-07-07,131.06224060058594,55.27488708496094
2013-07-14,134.6720428466797,55.745201110839844
2013-07-21,136.0066680908203,56.16025161743164
2013-07-28,135.95840454101562,56.02192687988281
2013-08-04,137.43771362304688,55.949798583984375
2013-08-11,136.11920166015625,56.11613082885742
2013-08-18,133.32144165039062,55.44378662109375
2013-08-25,133.9564666748047,55.44378662109375
2013-09-01,131.5687713623047,55.56163787841797
2013-09-08,133.4901885986328,55.19414138793945
2013-09-15,136.13526916503906,55.444210052490234
2013-09-22,137.92181396484375,55.937416076660156
2013-09-29,136.45953369140625,56.14577102661133
2013-10-06,136.443359375,56.140140533447266
